"ISSN","TIULO","ESTRATO"
"00002011","REVISTA ELETRÔNICA DE ANATOMIA E CIÊNCIAS","B5"
"00010782","COMMUNICATIONS OF THE ACM","A1"
"00010944","REVISTA ADM","B4"
"00011452","AIAA JOURNAL (PRINT)","A1"
"00011541","AICHE JOURNAL","A1"
"00012001","REVISTA DE HEMATOLOGÍA","B5"
"00012343","ARSP. ARCHIV FUR RECHTS- UND SOZIALPHILOSOPHIE","A1"
"00012351","TRANSACTIONS OF THE ASAE","B1"
"0001253X","ASLIB PROCEEDINGS","B2"
"00012815","TISSUE ANTIGENS","A2"
"00013072","ABACUS (SYDNEY. PRINT)","A2"
"00013765","ANAIS DA ACADEMIA BRASILEIRA DE CIÊNCIAS","A2"
"00013765","ANAIS DA ACADEMIA BRASILEIRA DE CIÊNCIAS (IMPRESSO)","A2"
"00013838","ANAIS DA ACADEMIA NACIONAL DE MEDICINA","B4"
"00014079","BULLETIN DE L'ACADÉMIE NATIONALE DE MÉDECINE","B4"
"00014265","ACADEMY OF GENERAL DENTISTRY","B2"
"00014273","ACADEMY OF MANAGEMENT JOURNAL","A1"
"00014346","MATHEMATICAL NOTES","B3"
"00014370","OCEANOLOGY (WASHINGTON. 1965)","B3"
"00014575","ACCIDENT ANALYSIS AND PREVENTION","A1"
"00014842","ACCOUNTS OF CHEMICAL RESEARCH","A1"
"00014966","THE JOURNAL OF THE ACOUSTICAL SOCIETY OF AMERICA","A1"
"00015113","ACTA ADRIATICA","B4"
"00015172","ACTA ANAESTHESIOLOGICA SCANDINAVICA","B1"
"00015237","ACTA ASTRONOMICA","B1"
"0001527X","ACTA BIOCHIMICA POLONICA","B2"
"00015296","ACTA BIOLOGICA CRACOVIENSIA. SERIES BOTANICA","B3"
"00015342","ACTA BIOTHEORETICA","B1"
"00015385","ACTA CARDIOLOGICA (IMPRIMÉ)","B1"
"00015504","ACTA CIENTÍFICA VENEZOLANA","B5"
"00015547","ACTA CYTOLOGICA","B1"
"00015555","ACTA DERMATO-VENEREOLOGICA","A1"
"00015652","HUMAN HEREDITY","B2"
"00015709","ACTA GEOLOGICA POLONICA","B1"
"00015792","ACTA HAEMATOLOGICA","B2"
"00015962","ACTA MATHEMATICA","A1"
"00015970","ACTA MECHANICA","A2"
"00016012","ACTA MEDICA COSTARRICENSE","C "
"00016268","ACTA NEUROCHIRURGICA","A2"
"00016314","ACTA NEUROLOGICA SCANDINAVICA","B1"
"00016322","ACTA NEUROPATHOLOGICA","A1"
"00016349","ACTA OBSTETRICIA ET GYNECOLOGICA SCANDINAVICA","A2"
"00016357","ACTA ODONTOLOGICA SCANDINAVICA","B1"
"00016357","ACTA ODONTOLOGICA SCANDINAVICA (TRYKT UTG.)","B1"
"00016365","ACTA ODONTOLOGICA VENEZOLANA","B3"
"00016365","ACTA ODONTOLÓGICA VENEZOLANA","B1"
"0001639X","ACTA OPHTHALMOLOGICA","A2"
"00016454","ACTA ORNITHOLOGICA","B1"
"00016489","ACTA OTO-LARYNGOLOGICA","A2"
"00016519","ACTA OTORRINOLARINGOLÓGICA ESPAÑOLA","B2"
"00016772","ACTA PHYSIOLOGICA SCANDINAVICA","B3"
"00016896","ACTA PSIQUIÁTRICA Y PSICOLÓGICA DE AMÉRICA LATINA","B1"
"0001690X","ACTA PSYCHIATRICA SCANDINAVICA","A1"
"00016918","ACTA PSYCHOLOGICA","B2"
"00016969","ACTA SCIENTIARUM MATHEMATICARUM","B3"
"00016977","ACTA SOCIETATIS BOTANICORUM POLONIAE","B2"
"00017019","ACTA STOMATOLOGICA CROATICA","B3"
"00017051","ACTA THERIOLOGICA","B2"
"0001706X","ACTA TROPICA","A1"
"00017213","ACTA VETERINARIA BRNO (PRINT)","B2"
"0001723X","ACTA VIROLOGICA (ENGLISH ED.)","B3"
"00017272","ACTA ZOOLOGICA (STOCKHOLM)","B1"
"00017701","GENERAL RELATIVITY AND GRAVITATION","B1"
"00018244","BEHAVIOR GENETICS","B1"
"00018678","ADVANCES IN APPLIED PROBABILITY","A2"
"00018686","ADVANCES IN COLLOID AND INTERFACE SCIENCE (PRINT)","A1"
