"TITULO","TIPO","ISSN","SJR","INDICE_H"
"CA - A Cancer Journal for Clinicians","journal","15424863",88.192,"156"
"CA - A Cancer Journal for Clinicians","journal"," 00079235",88.192,"156"
"MMWR. Recommendations and reports : Morbidity and mortality weekly report. Recommendations and reports / Centers for Disease Control","journal","10575987",41.022,"138"
"MMWR. Recommendations and reports : Morbidity and mortality weekly report. Recommendations and reports / Centers for Disease Control","journal"," 15458601",41.022,"138"
"Nature Reviews Materials","journal","20588437",36.691,"80"
"Quarterly Journal of Economics","journal","00335533",36.22,"246"
"Quarterly Journal of Economics","journal"," 15314650",36.22,"246"
"Nature Reviews Molecular Cell Biology","journal","14710072",29.997,"411"
"Nature Reviews Molecular Cell Biology","journal"," 14710080",29.997,"411"
"National vital statistics reports : from the Centers for Disease Control and Prevention, National Center for Health Statistics, National Vital Statistics System","book series","15518922",29.81,"95"
"National vital statistics reports : from the Centers for Disease Control and Prevention, National Center for Health Statistics, National Vital Statistics System","book series"," 15518930",29.81,"95"
"Nature Reviews Genetics","journal","14710056",28.619,"345"
"Nature Reviews Genetics","journal"," 14710064",28.619,"345"
"Cell","journal","00928674",24.698,"747"
"Cell","journal"," 10974172",24.698,"747"
"Reviews of Modern Physics","journal","00346861",21.938,"316"
"Reviews of Modern Physics","journal"," 15390756",21.938,"316"
"Nature Reviews Cancer","journal","1474175X",21.287,"418"
"Nature Reviews Cancer","journal"," 14741768",21.287,"418"
"Journal of Political Economy","journal","00223808",21.239,"179"
"Journal of Political Economy","journal"," 1537534X",21.239,"179"
"Chemical Reviews","journal","15206890",20.847,"656"
"Chemical Reviews","journal"," 00092665",20.847,"656"
"MMWR. Surveillance summaries : Morbidity and mortality weekly report. Surveillance summaries / CDC","journal","15458636",20.617,"95"
"MMWR. Surveillance summaries : Morbidity and mortality weekly report. Surveillance summaries / CDC","journal"," 15460738",20.617,"95"
"Nature Reviews Immunology","journal","14741741",20.611,"371"
"Nature Reviews Immunology","journal"," 14741733",20.611,"371"
"Nature Methods","journal","15487091",20.148,"289"
"Nature Methods","journal"," 15487105",20.148,"289"
